Number in Row,Name, Years, Year Total
1,Philippou,7,7
2,Alexandrou,12,19
3,Ptolemaiolagou,20,39
4,Philldelphoi,38,77
5,Euergetou,25(?), 102
6,Philopatoros,17,119
7,Epiphanous,24, 143
8,Philomhtoros,35,178
9,Euergetou the 2nd,29,207
10,Sothros,36,243
11,Dionusounaiou,29,272
12,Kleopatras,22,294
13,Romaion, X,X
14,Augoustou,43,337
15,Tiberiou,22, 359
16,Gaiou,4,363
17,Klaudiou,14,377
18,Neronos,14,391
19,Ouespasianou,10,401
20,Titou,3,404
21,Domitianou, 15,419
22,Neroua,1,420
23,Traianou,19,439
24,Adrianou,21,460


